74.52  0.00   -602841.316744
74.61  0.00   -602841.563237
75.13  0.00   -602841.095673
75.43  0.00   -602841.660823
76.61  0.00   -602841.109591
77.08  0.00   -602841.522812
79.20  0.00   -602841.477454
79.73  0.00   -602841.150997
83.03  0.00   -602842.167931
83.52  0.00   -602840.620871
88.07  0.00   -602843.061071
88.60  0.00   -602840.053052
94.21  0.00   -602844.037645
94.81  0.00   -602839.529142
101.31 0.00   -602844.992934
101.86 0.00   -602839.130554
109.13 0.00   -602845.836591
109.40 0.00   -602838.923191
117.20 0.00   -602839.071220
117.37 0.00   -602846.524821
125.08 0.00   -602839.797279
125.53 0.00   -602847.055778
132.80 0.00   -602841.237409
133.10 0.00   -602847.420949
139.77 0.00   -602847.608122
139.97 0.00   -602843.297582
145.49 0.00   -602847.667011
146.19 0.00   -602845.547362
150.33 0.00   -602847.709308
151.32 0.00   -602847.534748
154.31 0.00   -602847.899973
155.26 0.00   -602848.886298
157.31 0.00   -602848.334409
157.96 0.00   -602849.486892
159.04 0.00   -602848.930512
159.27 0.00   -602849.421913
73.24  10.00  -602841.310949
73.49  10.00  -602841.418847
73.72  10.00  -602840.890554
74.45  10.00  -602841.367455
75.04  10.00  -602840.099773
76.18  10.00  -602841.383735
77.34  10.00  -602838.975675
78.89  10.00  -602841.658869
80.95  10.00  -602837.688674
82.77  10.00  -602842.237624
86.22  10.00  -602836.524944
87.84  10.00  -602843.038320
93.14  10.00  -602835.769551
93.99  10.00  -602843.955202
101.11 10.00  -602844.884784
101.14 10.00  -602835.496237
108.96 10.00  -602845.733486
109.42 10.00  -602835.633791
117.24 10.00  -602846.452622
117.63 10.00  -602836.221303
125.44 10.00  -602847.035649
125.66 10.00  -602837.420384
133.04 10.00  -602847.468933
133.37 10.00  -602839.328198
139.72 10.00  -602847.734766
140.41 10.00  -602841.819619
145.41 10.00  -602847.875597
146.45 10.00  -602844.457728
150.16 10.00  -602847.995966
151.37 10.00  -602846.774047
154.00 10.00  -602848.233974
